Page: 1, Font Size: 8.181412696838379, Upper: False, Bold: False, block number: 0, Text: Procedures > System & Application User Guides > Internal Systems > Compass
Page: 1, Font Size: 12.85650634765625, Upper: False, Bold: False, block number: 2, Text: Knowledge Central
Page: 1, Font Size: 12.85650634765625, Upper: False, Bold: False, block number: 2, Text: |
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 2, Text: En Fr
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 2, Text:  KC tour
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 2, Text:  Feedback
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 2, Text: Ozair
Page: 1, Font Size: 9.350186347961426, Upper: True, Bold: False, block number: 2, Text:  - CIBC
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 5, Text: Outages
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 5, Text: Contacts
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 5, Text: Saved links
Page: 1, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 7, Text: Search...
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 0, Text: Last updated
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 0, Text: Thu, Dec 7, 2023 9:05 AM (Eastern
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 0, Text: Time)
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 1, Text: Content owner
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 1, Text: Walters, Ryan
Page: 2, Font Size: 9.350186347961426, Upper: True, Bold: False, block number: 2, Text: LOB
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 3, Text: Banking Centre
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 3, Text: Audience
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 3, Text: Banking Centre
Page: 2, Font Size: 8.181412696838379, Upper: True, Bold: False, block number: 4, Text: JOB AID
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 5, Text: Compass Resources
Page: 2, Font Size: 22.20669174194336, Upper: False, Bold: False, block number: 6, Text: Compass Central
Page: 2, Font Size: 10.285204887390137, Upper: False, Bold: False, block number: 7, Text: Expand content
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 7, Text: Jump to
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 8, Text: Use this page
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 8, Text:  to find procedures, job aids and troubleshooting for Compass.
Page: 2, Font Size: 18.70037269592285, Upper: False, Bold: False, block number: 9, Text: What is Compass and how does it work?
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 10, Text: You can use Compass to sell and set up products and services suited to your client's unique needs.
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 11, Text: Products and services include:
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 12, Text: CIBC Employee Share Purchase Loans
Page: 2, Font Size: 9.350186347961426, Upper: True, Bold: False, block number: 12, Text: COPS (when opening or converting an account)
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 12, Text: Credit cards
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 12, Text: Creditor insurance products
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Deposit accounts
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Employee Purpose Loans
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Personal chattel loans
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Real-Estate secured lending (RESL) pre-approvals
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Switching credit card types
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Unsecured personal loans
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 13, Text: Unsecured PLCs (including limit increases)
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 14, Text: For more information, see the 
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 14, Text: Compass Overview
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 14, Text:  page.
Page: 2, Font Size: 18.70037269592285, Upper: False, Bold: False, block number: 15, Text: What's new on Compass?
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 16, Text: What's new
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 16, Text: Details
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 16, Text:  Resources
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text:  Digital Document Exchange
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text:  You can now request client documents directly through
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text: the Request client documents screen
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text: You can also scan eligible documents directly into the Compass
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text: sales case if you collected paper copies
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text: This digital document exchange feature is available for 
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 17, Text: specific
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 18, Text: products / programs and document types
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 19, Text: Compass Digital
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 19, Text: Document Exchange
Page: 2, Font Size: 9.350186347961426, Upper: False, Bold: False, block number: 19, Text: spotlight
